LMK_KEY,ADDRESS1,ADDRESS2,ADDRESS3,POSTCODE,BUILDING_REFERENCE_NUMBER,CURRENT_OPERATIONAL_RATING,YR1_OPERATIONAL_RATING,YR2_OPERATIONAL_RATING,OPERATIONAL_RATING_BAND,ELECTRIC_CO2,HEATING_CO2,RENEWABLES_CO2,PROPERTY_TYPE,INSPECTION_DATE,LOCAL_AUTHORITY,CONSTITUENCY,COUNTY,LODGEMENT_DATE,MAIN_BENCHMARK,MAIN_HEATING_FUEL,OTHER_FUEL,SPECIAL_ENERGY_USES,RENEWABLE_SOURCES,TOTAL_FLOOR_AREA,ANNUAL_THERMAL_FUEL_USAGE,TYPICAL_THERMAL_FUEL_USAGE,ANNUAL_ELECTRICAL_FUEL_USAGE,TYPICAL_ELECTRICAL_FUEL_USAGE,RENEWABLES_FUEL_THERMAL,RENEWABLES_ELECTRICAL,YR1_ELECTRICITY_CO2,YR2_ELECTRICITY_CO2,YR1_HEATING_CO2,YR2_HEATING_CO2,YR1_RENEWABLES_CO2,YR2_RENEWABLES_CO2,AIRCON_PRESENT,AIRCON_KW_RATING,ESTIMATED_AIRCON_KW_RATING,AC_INSPECTION_COMMISSIONED,BUILDING_ENVIRONMENT,BUILDING_CATEGORY,ADDRESS,LOCAL_AUTHORITY_LABEL,CONSTITUENCY_LABEL,CERTIFICATE_HASH
1737520111223101225,,City of London Corporation,Golden Lane Leisure Centre,EC1Y 0SH,680870720000,44,41,61,B,47,112,0,Swimming Pool Centre,2011-12-23,E09000001,E14000639,Greater London Authority,2011-12-23,Swimming Pool Centre,Natural Gas,,,,1047,551,1095,82,245,0,0,12,12,167,251,0,0,No,1,,5,Heating and Mechanical Ventilation,H6,"City of London Corporation, Golden Lane Leisure Centre",City of London,Cities of London and Westminster,ca87407bf047271d9c8e0e6718a49b2c43126be610d7f1240a063f2cf6491e76
2101720141015011040,,London Metropolitan University,84 Moorgate,EC2M 6SQ,802984490000,91,71,74,D,378,422,0,University Campus,2014-10-14,E09000001,E14000639,Greater London Authority,2014-10-15,University Campus,Natural Gas,,,,9474.3,230,223,72,91,0,0,447,507,233,226,0,0,Yes,,3,1,Mixed-mode with Mechanical Ventilation,S4;,"London Metropolitan University, 84 Moorgate",City of London,Cities of London and Westminster,0bd4f33be7f8c6932cb6d7b6aa786d27a857ac14f6b513b8697a50ad5003b50a
2181120140414030438,,Museum of London,150 London Wall,EC2Y 5HN,660453630000,162,164,163,G,1899,483,0,Cultural Activities; General Office,2014-04-14,E09000001,E14000639,Greater London Authority,2014-04-14,Cultural Activities,District Heating,,,,17966,149,179,192,86,0,0,1971,1917,510,501,0,0,Yes,,3,2,Mixed-mode with Mechanical Ventilation,H4; C1;,"Museum of London, 150 London Wall",City of London,Cities of London and Westminster,4e773ff01b22c5586029e7863c0373f6c41a0cdb32541ce9732a1ee095e49b88
2211320140321030315,,Guildhall School of Music & Drama,"Barbican, Silk Street",EC2Y 8DT,743783190000,58,52,49,C,926,100,0,University Campus,2013-10-01,E09000001,E14000639,Greater London Authority,2014-03-21,University Campus,District Heating,,,,19306,28,248,87,80,0,0,798,776,72,72,0,0,Yes,,3,2,Heating and Natural Ventilation,S4;,"Guildhall School of Music & Drama, Barbican, Silk Street",City of London,Cities of London and Westminster,871a3b45f556b7891b7c19823b10030c0b2392baa33f31e7903ec0aba6015fbb
7367320110622010627,,United Kingdom Debt Management Office,"Eastcheap Court, 11 Philpot Lane",EC3M 8UD,846133490000,161,9999,219,G,131,73,0,General Office,2011-04-01,E09000001,E14000639,Greater London Authority,2011-06-22,General Office,Natural Gas,,,,1680,223,120,142,95,0,0,0,221,0,54,0,0,Yes,,2,3,Air Conditioning,C1;,"United Kingdom Debt Management Office, Eastcheap Court, 11 Philpot Lane",City of London,Cities of London and Westminster,239241080502961401fcbce4c3c6d23e1a57ccb789997fa252725f52154ee3d2
8015820130308120337,,Government Actuary's Department,"Finlaison House, 15-17 Furnival Street",EC4A 1AB,899788070000,81,159,199,D,126,85,0,General Office,2013-03-08,E09000001,E14000639,Greater London Authority,2013-03-08,General Office,Natural Gas,,,,3491,126,115,66,95,0,0,325,426,82,102,0,0,No,,,4,Heating and Mechanical Ventilation,C1;,"Government Actuary's Department, Finlaison House, 15-17 Furnival Street",City of London,Cities of London and Westminster,a3eb1a4cc4a5b6a06de37b04d0f363ada4cf468690f2254c5d551af677757462
8103220150728060703,,Field House,15-25 Bream's Buildings,EC4A 1DZ,439288530000,76,83,196,D,289,101,0,General Office,2015-07-27,E09000001,E14000639,Greater London Authority,2015-07-28,General Office,Natural Gas,,,,6972,75,110,75,95,0,0,325,358,137,207,0,0,Yes,,2,3,Mixed-mode with Mechanical Ventilation,C1;,"Field House, 15-25 Bream's Buildings",City of London,Cities of London and Westminster,5b151f04387fa8a3f18b5b1ef1cd67629b051bdb16f869a5747667725ea3126a
984820101221101254,,City of London Police,"Snow Hill Police Station, 5 Snow Hill",EC1A 2DP,187785180000,142,157,149,F,313,169,0,Emergency Services,2010-12-13,E09000001,E14000639,Greater London Authority,2010-12-21,Emergency Services,Natural Gas,,,,3000,290,385,189,70,0,0,350,334,164,167,0,0,No,1,,5,Heating and Natural Ventilation,S9,"City of London Police, Snow Hill Police Station, 5 Snow Hill",City of London,Cities of London and Westminster,ac4983e8c423e10e693cc0a346c0307abf46c5532191ade2f90098653076e179
984820121108031113,,City of London Police,"Snow Hill Police Station, 5 Snow Hill",EC1A 2DP,187785180000,132,142,142,F,262,165,0,Emergency Services,2012-11-07,E09000001,E14000639,Greater London Authority,2012-11-08,Emergency Services,Natural Gas,,,,3000,283,359,159,70,0,0,298,313,179,169,0,0,No,1,,5,Heating and Natural Ventilation,S9,"City of London Police, Snow Hill Police Station, 5 Snow Hill",City of London,Cities of London and Westminster,e410c0d1dc73402ccaf38887296a473f46e1dbdd07ce9e9819f811c718701fe1
1274620151001041042,,The Right Honourable the Lord Mayor,"The Mansion House, Mansion House Street",EC4N 8BH,820144440000,85,90,99,D,467,227,0,General Accommodation,2015-10-01,E09000001,E14000639,Greater London Authority,2015-10-01,General Accommodation,Natural Gas,,,,8236,142,303,103,73,0,0,489,544,219,324,0,0,No,,,4,Heating and Natural Ventilation,S8;,"The Right Honourable the Lord Mayor, The Mansion House, Mansion House Street",City of London,Cities of London and Westminster,e56a3538cc28896174c29be2c32782a54097f926f9e0f87e20362b51f251f614
